Marker,
1.1,"[11.59, 29.21, 21.56]"
1.2,"[11.74, 28.25, 21.31]"
1.3,"[10.75, 28.08, 21.39]"
1.4,"[10.61, 29.03, 21.65]"
2.1,"[18.16, 5.48, 4.41]"
2.2,"[18.37, 4.64, 3.92]"
2.3,"[17.45, 4.30, 4.09]"
2.4,"[17.23, 5.14, 4.59]"
3.1,"[1.81, 26.84, 17.90]"
3.2,"[2.00, 26.14, 17.22]"
3.3,"[1.17, 25.65, 17.48]"
3.4,"[0.97, 26.36, 18.16]"
4.1,"[21.21, 1.48, 29.10]"
4.2,"[21.31, 0.91, 28.28]"
4.3,"[20.59, 0.31, 28.63]"
4.4,"[20.49, 0.88, 29.44]"
5.1,"[24.89, 7.23, 5.56]"
5.2,"[24.83, 6.75, 4.69]"
5.3,"[24.24, 6.05, 5.11]"
5.4,"[24.31, 6.53, 5.99]"
